news,bias
LAS VEGAS REVIEW JOURNAL,1
LAS VEGAS SUN,-1
LATEST.COM,-2
LATIN TIMES,-1
LAVENDER MAGAZINE,-2
LAW & CRIME,-1
LAW ENFORCEMENT TODAY,2
LAW.COM,0
LAW360,0
LAWFARE BLOG,0
LE SOIR,0
LEAD STORIES,0
LEARN LIBERTY,1
LEAVENWORTH TIMES,-1
LEBANON DAILY NEWS,0
LEFT FOOT FORWARD,-2
LEFT JUSTIFIED,-1
LEFT OVER RIGHTS,-2
LEFT VOICE,-2
LEFTSCOOP,-2
LEGAL INSURRECTION,2
LEICESTER MERCURY,1
LETHBRIDGE HERALD,-1
LEXINGTON HERALD LEADER,-1
LEXINGTON INSTITUTE,1
LGBTQ NATION,-2
LIBCOM.ORG,-2
LIBERAL AMERICA,-2
LIBERAL EXAMINER,-2
LIBERAL MOUNTAIN,-1
LIBERATION NEWS,-2
LIBERTARIANISM.ORG,1
LIBERTY HEADLINES,2
LIBERTY NATION,2
LIFE DECISIONS INTERNATIONAL,2
LIFE NEWS,2
LIFEHACKER,-1
LIFEZETTE,2
LIMA CHARLIE NEWS,0
LINCOLN JOURNAL STAR,0
LISTVERSE,1
LITTLE GREEN FOOTBALLS,-2
LIVE LEAK,-1
LNP – LANCASTERONLINE,0
LOMPOC RECORD,0
LONDON BROADCASTING COMPANY,1
LONDON EVENING STANDARD,1
LONDON FREE PRESS,1
LONE CONSERVATIVE,2
LONGVIEW NEWS-JOURNAL,0
LOS ANGELES DAILY NEWS,1
LOS ANGELES MAGAZINE,-1
LOUDER WITH CROWDER,2
LOVELAND REPORTER-HERALD,0
LOZIER INSTITUTE,2
LUBBOCK AVALANCHE JOURNAL,1
LYNX MEDIA,1
MACKINAC CENTER FOR PUBLIC POLICY,1
MACLEAN’S MAGAZINE,-1
MAINE BEACON,-1
MAINICHI SHIMBUN,-1
MAKEUSEOF,0
MALAYSIA TODAY,1
MALAYSIAKINI,-1
MANCHESTER UNION LEADER,1
MANHATTAN INSTITUTE FOR POLICY RESEARCH,2
MANILA BULLETIN,-1
MANILA TIMES,1
MAPLIGHT,-1
MARGINAL REVOLUTION,1
MARKETWATCH,1
MASHABLE,-2
MCCLATCHY DC,-1
MEDIA CIRCUS,2
MEDIA EQUALIZER,2
MEDIA MATTERS,-2
MEDIA RESEARCH CENTER,2
MEDIAFILE,-1
MEDIAITE,-2
MEDIUM,-1
MEDUZA,-2
MEIDASTOUCH,-2
MEMEORANDUM,0
MEMPHIS COMMERCIAL APPEAL,0
MENTAL FLOSS,0
MERCATORNET,2
MERCATUS,1
MERIDEN RECORD-JOURNAL,0
MERION WEST,0
MERRY JANE,-2
METABUNK,1
METRO,-1
METRO UK,-1
METROWEST DAILY NEWS,0
MEXICO DAILY NEWS,-1
MIAMI HERALD,-1
MIAMI NEW TIMES,-2
MIC,-1
MIDDLE EAST EYE,-1
MIDDLE EAST MONITOR,-2
MIGRATION POLICY INSTITUTE,-1
MILITARY TIMES,0
MILITARY.COM,0
MILLIYET,2
MILWAUKEE JOURNAL-SENTINAL,-1
MINNEAPOLIS STAR-TRIBUNE,-1
MINNESOTA PUBLIC RADIO,-1
MINNESOTA SUN,2
MINNPOST,-1
MINT PRESS NEWS,-1
MISES INSTITUTE,2
MISSOULIAN,0
MLIVE,0
MODERN LIBERALS,-2
MOLAD THE CENTER FOR THE RENEWAL OF ISRAELI DEMOCRACY,-2
MONDOWEISS,-2
MONGABAY,-1
MONTANA STANDARD,0
MONTHLY REVIEW,-2
MONTREAL GAZETTE,1
MOON OF ALABAMA,-2
MORNING CONSULT,0
MOSCOW TIMES,-1
MOTHER JONES,-1
MOTHER NATURE NETWORK,-1
MOTHERSHIP,-1
MOUNTAIN DEMOCRAT,1
MS.,-2
MSN.COM,-1
MSNBC,-2
MUNCIE VOICE,-1
MWC NEWS – MEDIA WITH CONSCIENCE,-1
MYCENTRALJERSEY.COM,-1
MYNORTHWEST,1
NAKED CAPITALISM,-1
NAPA VALLEY REGISTER,0
NAPLES DAILY NEWS,-1
NATION OF CHANGE,-2
NATIONAL AFFAIRS,1
NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,-2
NATIONAL BUREAU OF ECONOMIC RESEARCH,0
NATIONAL CENTER FOR PUBLIC POLICY RESEARCH,2
NATIONAL CENTER FOR TRANSGENDER EQUALITY,-1
NATIONAL CONFERENCE OF STATE LEGISLATURES,0
NATIONAL FEDERATION OF REPUBLICAN WOMEN,2
NATIONAL INSTITUTE ON MONEY IN STATE POLITICS,0
NATIONAL INTEREST,1
NATIONAL JOURNAL,0
NATIONAL MONITOR,-1
NATIONAL NEWSWATCH,-1
NATIONAL OBSERVER,-1
NATIONAL POST,1
NATIONAL REVIEW,2
NATIONAL YOUTH RIGHT ASSOCIATION,-1
NATIONMASTER,0
NATURAL RESOURCE GOVERNANCE INSTITUTE,-1
NATURAL RESOURCES DEFENSE COUNCIL,-2
NATURE CONSERVANCY,-1
NAVY TIMES,0
NBC LOS ANGELES – KNBC,-1
NBC NEWS,-1
NBCNEWYORK.COM,-1
NC POLICY WATCH,-2
NDTV,-1
NEED2KNOW,0
NETHERLANDS RADIO AND TELEVISION ASSOCIATION,1
NEW AMERICA FOUNDATION,-1
NEW BERN SUN JOURNAL,0
NEW BOSTON POST,2
NEW CASTLE NEWS,-1
NEW ENGLAND CABLE NEWS,-1
NEW EUROPE,-1
NEW HAVEN REGISTER,-1
NEW INTERNATIONALIST,-2
NEW LEFT REVIEW,-1
NEW MATILDA,-1
NEW MODERATE,-1
NEW POLITICS MAGAZINE,-2
NEW REPUBLIC,-2
NEW STATESMAN,-2
NEW YORK AMSTERDAM NEWS,-2
NEW YORK DAILY NEWS,-1
NEW YORK MAGAZINE,-2
NEW YORK OBSERVER,1
NEW YORK POST,1
NEW YORK TIMES,-1
NEW YORKER,-2
NEW ZEALAND HERALD,0
NEWS AND GUTS,-1
NEWS AND NEWS,0
NEWS CHANNEL 4,0
NEWS CORPSE,-2
NEWS DEEPLY,-1
NEWS FACTS NETWORK,0
NEWS HOUNDS,-2
NEWS LOOKUP,0
NEWS STRAITS TIMES,0
NEWS-GAZETTE,1
NEWS.COM.AU,1
NEWS1130 & CITY NEWS,-1
NEWS24,0
NEWSBUSTERS,2
NEWSCENTERMAINE.COM,-1
NEWSDAY,-1
NEWSELA,0
NEWSER,-1
NEWSGUARD,0
NEWSNATION,0
NEWSNET,0
NEWSNOW UK,0
NEWSONE,-2
NEWSWEEK,-1
NEWSY,-1
NEWZJUNKY.COM,0
NEXTGOV,0
NHK WORLD,-1
NHK-NIPPON HOSO KYOKAI,1
NIKKEI ASIAN REVIEW,1
NISKANEN CENTER,0
NJ1015.COM,1
NK NEWS,0
NO LABELS,0
NOOZHAWK,0
NOQ REPORT,2
NORFOLK DAILY NEWS,0
NORTH KOREA TIMES,0
NORTH99,-2
NORTHWEST ARKANSAS DEMOCRAT-GAZETTE,1
NORTHWEST FLORIDA DAILY NEWS,0
NORTHWEST INDIANA TIMES,0
NOT THE BEE,2
NOVINITE,0
NOVINKY.CZ,-1
NOW MAGAZINE,-2
NPR,-1
NRA – INSTITUTE FOR LEGISLATIVE ACTION,2
NTD.TV,1
NTK NETWORK,2
NUMBERS USA,2
OCCUPY INDEPENDENTS,-1
OCCUPY.COM,-2
OCWEEKLY,-1
ODESSA AMERICAN,1
OFFGRID SURVIVAL,2
OIL AND WATER DON’T MIX,-1
OIL PRICE,0
OMAHA WORLD HERALD,1
ONE ANGRY GAMER,2
ONE GREEN PLANET,-2
ONEINDIA,-1
ONENEWSNOW,2
ONTARIO PROUD,2
OPEDNEWS,-2
OPEN DOORS,1
OPEN SOCIETY FOUNDATIONS,-2
OPEN THE GOVERNMENT,0
OPENDEMOCRACY,-1
OPPOSING VIEWS,-1
OPSLENS,2
ORANGE COUNTY REGISTER,1
OREGONIAN,1
ORLANDO SENTINEL,-1
OTTAWA CITIZEN,1
OTTAWA SUN,1
OUR WORLD IN DATA,-1
OUT MAGAZINE,-2
OUTKICK,2
OUTSIDE THE BELTWAY,-1
OYEZ PROJECT,0
OZY MEDIA,-1
PACIFIC DAILY NEWS,0
PACIFIC RESEARCH INSTITUTE,1
PACIFIC STANDARD MAGAZINE,-1
PALM BEACH DAILY NEWS,-1
PALMER REPORT,-2
PANAM POST,2
PANTS OF FIRE NEWS,2
PASTE MAGAZINE,-2
PATCH,0
PATHEOS,0
PATRIOT NEWS ALERTS,2
PATRIOT NEWS DAILY,2
PATRIOTIC MILLIONAIRES,-1
PATRIOTRETORT.COM,2
PBS NEWS HOUR,-1
PEACOCK PANACHE,-2
PENINSULA DAILY NEWS,1
PENSACOLA NEWS JOURNAL,0
PEOPLE FOR THE AMERICAN WAY,-2
PEOPLE MAGAZINE,-2
PEORIA JOURNAL STAR,0
PETERSON FOUNDATION,0
PETERSON INSTITUTE FOR INTERNATIONAL ECONOMICS,0
PEW RESEARCH,0
PHILADELPHIA INQUIRER,-1
PHILADELPHIA TRIBUNE,-1
PHILIPPINE DAILY INQUIRER,-1
PHILLY VOICE,-1
PHOENIX NEWS TIMES,-1
PINAC,-2
PINK NEWS,-2
PITTSBURGH POST-GAZETTE,1
PITTSBURGH TRIBUNE REVIEW,1
PLACES JOURNAL,0
PLURALIST,2
POCONO RECORD,0
POLICYED.ORG,1
POLITICAL CRITIQUE,-1
POLITICAL DIG,-2
POLITICAL TRIBUNE,-2
POLITICAL WIRE,0
POLITICALITE,2
POLITICHICKS,2
POLITICO,-1
POLITICS THAT WORK,-1
POLITICUSUSA,-2
POLITIFACT,0
POLITIFEED,2
POLITISITE,1
POLITIZOOM,-2
POLYGON,-1
POLYGRAPH.INFO,0
POPULAR INFORMATION,-2
POPULAR RESISTANCE,-2
POPULATION CONNECTION,-1
POPULIST WIRE,2
PORTLAND PRESS-HERALD,-1
PORTLAND TRIBUNE,-1
POSITIVE NEWS,-1
POST-BULLETIN,1
POWERLINE,2
POYNTER INSTITUTE,0
PR NEWSWIRE,0
PRESS PROGRESS,-2
PRI,-1
PRIVATE EYE,-1
PROCON.ORG,0
PROGRESSIVE ARMY,-2
PROGRESSIVE CHANGE CAMPAIGN COMMITTEE,-2
PROJECT CENSORED,-2
PROJECT ON GOVERNMENT INSIGHT,-1
PROJECT SYNDICATE,-1
PROPUBLICA,-1
PROSPECT MAGAZINE,-1
PROUD CONSERVATIVE,2
PROVIDENCE JOURNAL,-1
PUBLIC CITIZEN,-1
PUBLIC INTEREST LEGAL FOUNDATION,2
PUBLIC POLICY POLLING,0
PUBLIC RELIGION RESEARCH INSTITUTE,0
PUNCHING BAG POST,2
QUAD CITY TIMES,0
QUADRANT MAGAZINE,2
QUARTZ,-1
QUEERTY,-2
R STREET INSTITUTE,1
RABBLE.CA,-2
RADIO FREE ASIA,-1
RADIO FREE EUROPE / RADIO LIBERTY,0
RADIO.COM,0
RALEIGH NEWS & OBSERVER,-1
RAND CORPORATION,0
RANTT MEDIA,-2
RAPID CITY JOURNAL,0
RAPPLER,-2
RARE NEWS,0
RASMUSSEN REPORTS,1
RATIONALWIKI,-1
RAW STORY,-2
READER SUPPORTED NEWS,-2
READER’S DIGEST,2
READING THE PICTURES,-2
REAL CLEAR DEFENSE,1
REAL CLEAR INVESTIGATIONS,1
REAL CLEAR POLICY,1
REAL CLEAR POLITICS,1
REAL NEWS NETWORK,-2
REALCLEARRELIGION,1
REASON,1
RECODE,0
RED ALERT POLITICS,2
RED PEPPER,-2
RED RIVER VALLEY NEWS,1
REFINERY29,-2
REGATED NEWS,2
REGINA LEADER-POST,1
REGULATION MAGAZINE,1
RELEVANT MAGAZINE,0
RELIGION NEWS SERVICE,-1
REMINGTON RESEARCH GROUP,1
RENEWEDRIGHT.COM,2
RENO GAZETTE JOURNAL,-1
REPORTER WITHOUT BORDERS,0
REPORTERS LAB,0
REPRESENT.US,-1
REPUBLIC REPORT,-2
REPUBLIC WORLD,1
REPUBLICANS SUCK,-2
RESILIENCE,-2
RESTORE AMERICAN GLORY,2
REUTERS,0
REVCOM.US,-2
REVEAL,-1
REWIRE.NEWS,-2
RFI – RADIO FRANCE INTERNATIONALE,0
RICHMOND TIMES-DISPATCH,1
RICHOCHET,2
RIGHT & FREE,2
RIGHT WEB,-1
RIGHT WING WATCH,-2
RING OF FIRE,-2
RIVERBENDER.COM,0
RIVERDALE PRESS,0
ROANOKE TIMES,0
ROCK HILL HERALD,-1
ROCKETNEWS,-1
ROLL CALL,0
ROLLING STONE,-2
RON PAUL LIBERTY REPORT,2
ROOSEVELT INSTITUTE,-1
RTE,0
RUSSIAN MEDIA MONITOR,0
SABAH,2
SACRAMENTO BEE,-1
SALEM RADIO NETWORK NEWS,1
SALON,-2
SALT LAKE TRIBUNE,-1
SAN ANTONIO EXPRESS,-1
SAN BERNADINO SUN,1
SAN DIEGO READER,-1
SAN DIEGO UNION TRIBUNE,0
SAN FRANCISCO BAY VIEW,-2
SAN FRANCISCO CHRONICLE,-1
SAN FRANCISCO EXAMINER,-1
SAN FRANCISCO GLOBE,-1
SAN JOSE MERCURY NEWS,-1
SAN LUIS OBISPO TRIBUNE,-1
SAN MARCOS DAILY RECORD,0
SANTA BARBARA INDEPENDENT,-1
SANTA MARIA TIMES,0
SAPIENS,-1
SARASOTA HERALD-TRIBUNE,0
SASKATOON STARPHOENIX,1
SAUDI GAZETTE,-1
SAVANNAH MORNING NEWS,1
SAVE JERSEY,2
SAYFIE REVIEW,0
SCARY MOMMY,-2
SCIENCE DEBATE,0
SCIENCING,-1
SCOOPNEST,0
SCOOPWHOOP,-1
SCOPE RATINGS,1
SCOTUSBLOG,0
SCROLL.IN,-1
SEATTLE POST-INTELLIGENCER,-1
SEATTLE TIMES,-1
SECOND NEXUS,-2
SENTENCING PROJECT,-1
SENTINEL KSMO,2
SEVENTEEN,-2
SFGATE,-1
SHADOW PROOF,-2
SHAME PROJECT,-1
SHAREABLY,0
SHAREBLUE,-2
SHARYLATTKISSON.COM,2
SHONDALAND,-2
SHORENSTEIN CENTER,0
SHREVEPORT TIMES,0
SIMPLE POLITICS,0
SINCLAIR BROADCAST GROUP,2
SIOUX CITY JOURNAL,0
SKY NEWS,0
SKY NEWS AUSTRALIA,2
SLATE,-2
SLUDGE,-2
SMARTNEWS,0
SMIRKING CHIMP,-2
SNOPES,0
SOCIALIST STANDARD,-2
SOCIALISTWORKER.ORG,-2
SOFREP,1
SOJOURNERS,-1
SONORAN NEWS,2
SOOTODAY.COM,-1
SOURCE POLITICS,-2
SOURCEWATCH,-2
SOUTH BEND TRIBUNE,0
SOUTH CHINA MORNING POST,-1
SOUTH FLORIDA SUN-SENTINEL,0
SOUTHERN PATRIOT NEWS,2
SOUTHERN POVERTY LAW CENTER,-2
SPECIAL BROADCASTING SERVICE,-1
SPECTRUM NEWS – NY1,0
SPECTRUM REPORT,0
SPIEGEL ONLINE,-1
SPIKED MAGAZINE,2
SPLINTER,-2
SPRINGFIELD NEWS-LEADER,-1
ST. CLOUD TIMES,0
ST. LOUIS POST-DISPATCH,-1
ST. PAUL PIONEER PRESS,-1
ST. PETE FOR PEACE,-2
STAMFORD ADVOCATE,-1
STANDPOINT,2
STAR LEDGER,-1
STAR POLITICAL,2
STARS AND STRIPES,0
STAT,-1
STATEN ISLAND ADVANCE,0
STATESMAN JOURNAL,0
STATESVILLE RECORD & LANDMARK,0
STATISTA,0
STEPFEED,-1
STIMSON CENTER,0
STOP FAKE,-1
STRATEGYPAGE,0
STRATFOR,0
STUDENT DAILY NEWS,1
STUFF,-1
SUNLIGHT FOUNDATION,-1
SWI – SWISSINFO.CH,-1
SYRIAN OBSERVATORY FOR HUMAN RIGHTS,-1
SYRIANA ANALYSIS,-2
TABLET MAGAZINE,-1
TAIPEI TIMES,0
TAIWAN NEWS,-1
TALKING POINTS MEMO,-2
TALLAHASEE DEMOCRAT,1
TAMPA BAY TIMES,-1
TARBELL,-1
TASK AND PURPOSE,0
TAX FOUNDATION,1
TAX JUSTICE NETWORK,-1
TAX POLICY CENTER,-1
TECHCRUNCH,-1
TECHDIRT,-1
TEEN VOGUE,-2
TELEGRAM & GAZETTE,0
TENTH AMENDMENT CENTER,2
TEXAS MONTHLY,-1
TEXAS STANDARD,0
TEXAS TRIBUNE,-1
THARAWAT MAGAZINE,1
THAT’S NONSENSE,0
THE ADVERTISER,2
THE ADVOCATE,-2
THE AGE,-1
THE ALGEMEINER JOURNAL,1
THE AMERICAN CONSERVATIVE,1
THE AMERICAN INDEPENDENT INSTITUTE,-2
THE AMERICAN INTEREST,1
THE AMERICAN MIND,2
THE AMERICAN PROSPECT,-2
THE ASAHI SHIMBUN,-1
THE ASBURY PARK PRESS,-1
THE AUBURN CITIZEN,0
THE AUGUSTA CHRONICLE,1
THE AUSTIN CHRONICLE,-2
THE AUSTRALIAN,1
THE AUSTRALIAN FINANCIAL REVIEW,0
THE AUTOMATIC EARTH,-1
THE BAFFLER,-1
THE BALANCE,0
THE BATTLEFORDS NEWS OPTIMIST,0
THE BIPARTISAN PRESS,-1
THE BLUE ROUTE,-2
THE BROWNSVILLE HERALD,-1
THE BRUNSWICK NEWS,1
THE BUDAPEST BEACON,-1
THE BULWARK,1
THE BUREAU OF INVESTIGATIVE JOURNALISM,0
THE BURNING SPEAR,-2
THE CALIFORNIA REPUBLICAN,2
THE CANADIAN PRESS,0
THE CANARY,-2
THE CENTER FOR ECONOMIC POLICY AND RESEARCH,-1
THE CENTURY FOUNDATION,-1
THE CHINA POST,-1
THE CHRISTIAN LEFT,-1
THE CHRONICLE HERALD,1
THE CHRONICLE OF HIGHER EDUCATION,-1
THE CIPHER BRIEF,0
THE CITIZEN,-1
THE CITIZEN,1
THE CITIZEN PRESS,2
THE CITY,-1
THE CLIMATE REALITY PROJECT,-2
THE COLLEGE FIX,2
THE COLORADO SUN,-1
THE COLORADOAN,-1
THE COLUMBIAN,0
THE CONSERVATIVE NUT,2
THE CONSERVATIVE OPINION,2
THE CONSERVATIVE WOMAN,2
THE CONVERSATION,0
THE COUNCIL OF CANADIANS,-1
THE COURIER MAIL,1
THE COURIER-JOURNAL,-1
THE CUT,-2
THE DAILY 49ER,-2
THE DAILY BANTER,-2
THE DAILY BUZZ,-2
THE DAILY CHRONICLE,0
THE DAILY CITIZEN,1
THE DAILY CLIMATE,-1
THE DAILY DEFENDER,2
THE DAILY GAZETTE,0
THE DAILY HIVE,-1
THE DAILY NEWS,0
THE DAILY NORTHWESTERN,0
THE DAILY POSTER,-2
THE DAILY PROGRESS,0
THE DAILY TARHEEL,-1
THE DAILY TELEGRAPH,2
THE DAILY VOX,-2
THE DAILY WIRE,2
THE DAY,0
THE DC CHRONICLE,2
THE DEFCON WARNING SYSTEM,0
THE DEMOCRATIC HUB,-2
THE DIPLOMAT MAGAZINE,0
THE DISPATCH,1
THE DODO,-2
THE DOMINION POST,-1
THE DURANGO HERALD,1
THE DWORKIN REPORT,-2
THE EC JOURNAL,1
THE ECONOMIST,0
THE ELKHART TRUTH,1
THE EUROPEAN COUNCIL ON FOREIGN RELATIONS,-1
THE EXPRESS-TIMES,-1
THE FAKE NEWS CODEX,0
THE FIRST TV,2
THE FISCAL TIMES,1
THE FLIP SIDE,0
THE FLORIDA SQUEEZE,-2
THE FORWARD,-1
THE FRONTIER,-1
THE FULCRUM,-1
THE GAZETTE,1
THE GHION JOURNAL,-2
THE GLOBE AND MAIL,1
THE GUARDIAN,-1
THE HAYRIDE,2
THE HERALD,-1
THE HERALD JOURNAL,0
THE HERALD NEWS,0
THE HERALD-DISPATCH,0
THE HERALD-SUN,0
THE HILL,0
THE HILL TALK,-1
THE HINDU,-1
THE HUMANIST MAGAZINE,-1
THE IMPROPER MAGAZINE,-2
THE INDEPENDENT,-1
THE INDEPENDENT INSTITUTE,1
THE INDIAN EXPRESS,-1
THE INDYPENDENT,-2
THE INTELLECTUALIST,-2
THE INTERCEPT,-1
THE IRISH TIMES,-1
THE IRRAWADDY,-1
THE JACK NEWS,1
THE JAKARTA POST,-1
THE JAMESTOWN FOUNDATION,0
THE JAPAN NEWS,1
THE JERUSALEM REPORT,1
THE JEWISH PRESS,1
THE JORDAN TIMES,0
THE JOURNAL,1
THE JOURNAL NEWS,-1
THE JOURNAL STANDARD,0
THE KOREA TIMES,-1
THE LEDGER,1
THE LIBERTARIAN REPUBLIC,1
THE LIBERTY LOFT,2
THE LILY,-2
THE LINCOLN PROJECT,-1
THE LIST,-1
THE LOCAL,-1
THE LONDON ECONOMIC,-2
THE MACON TELEGRAPH,0
THE MARIETTA TIMES,0
THE MARSHALL PROJECT,0
THE MARY SUE,-2
THE MAUI NEWS,-1
THE MEME POLICEMAN,0
THE MILITANT,-2
THE MODERATE VOICE,-1
THE MODERATED MEDIA,0
THE MODESTO BEE,0
THE MONITOR,0
THE MONTHLY,-2
THE MORNING CALL,0
THE MORNING STAR,-2
THE MOTLEY FOOL,-1
THE NATION,-2
THE NATION PAKISTAN,1
THE NATIONAL HERALD,2
THE NATIONAL MEMO,-2
THE NEVADA INDEPENDENT,0
THE NEW AMERICAN,2
THE NEW ARAB,-1
THE NEW ATLANTIS,1
THE NEW CIVIL RIGHTS MOVEMENT,-2
THE NEW HUMANITARIAN,-1
THE NEW REVERE,2
THE NEW TROPIC,-1
THE NEWS,0
THE NEWS INTERNATIONAL,0
THE NEWS LENS,1
THE NEWS LITERACY PROJECT,0
THE NEWS TRIBUNE,-1
THE NEWS-TIMES,-1
THE NEXT WEB,-1
THE OBJECTIVE STANDARD,1
THE OBSERVATORY,0
THE OBSERVER,-1
THE ODYSSEY ONLINE,-1
THE OHIO STAR,2
THE OKLAHOMAN,1
THE OLYMPIAN,-1
THE OUTLINE,-2
THE OUTLOOK,0
THE PALESTINE CHRONICLE,-2
THE PALM BEACH POST,-1
THE PANTAGRAPH,0
THE PATRIOT POST,2
THE PATRIOT-NEWS,-1
THE PHNOM PENH POST,-2
THE PLAIN DEALER,-1
THE POST AND COURIER,0
THE POST MILLENNIAL,2
THE POST STAR,0
THE POST-JOURNAL,1
THE POST-STANDARD,0
THE PRESS DEMOCRAT,-1
THE PRESS-ENTERPRISE,1
THE PROGRESSIVE,-2
THE PROGRESSIVE FRONTIER,-2
THE PULSE,-1
THE QUINT,1
THE RANTIDOTE,2
THE REALITY-BASED COMMUNITY,-2
THE REBEL NEWS,2
THE RECORD,-1
THE RECORD – STOCKTON,0
THE REGISTER UK,0
THE REPUBLIC,0
THE REPUBLICAN,0
THE RESURGENT,2
THE RIGHT SCOOP,2
THE RINGER,-1
THE RON PAUL INSTITUTE,2
THE ROOT,-2
THE SANTA FE NEW MEXICAN,-1
THE SATURDAY PAPER,-1
THE SCOTSMAN,0
THE SENTINEL,0
THE SKIMM,-1
THE SMOKING GUN,0
THE SOCIABLE,0
THE SORRENTINO,1
THE SOURCE NEWSPAPER,-2
THE SOUTHERN ILLINOISAN,0
THE SPECTATOR,1
THE SPECTATOR,1
THE SPOKESMAN-REVIEW,1
THE STANDARD,1
THE STAR,2
THE STAR DEMOCRAT,0
THE STATE,-1
THE STATE PRESS,-1
THE STERN FACTS,-2
THE STRAITS TIMES,1
THE STRANGER,-2
THE STRATEGY BRIDGE,0
THE SUMTER ITEM,1
THE SUN,2
THE SUN MAGAZINE,-1
THE SYDNEY MORNING HERALD,-1
THE TAB,-1
THE TENNESSEAN,0
THE TENNESSEE STAR,2
THE TEXAS OBSERVER,-2
THE TIMES,0
THE TIMES AND DEMOCRAT,0
THE TIMES HERALD,1
THE TIMES OF INDIA,1
THE TIMES UK AND SUNDAY TIMES,1
THE TOWN TALK,0
THE TRACE,-1
THE TRUTH ABOUT GUNS,2
THE TRUTHSETTER,0
THE TYEE,-1
THE VARSITY,-1
THE VERGE,-1
THE VILLAGE VOICE,-2
THE VINDICATOR,0
THE VIRGINIAN-PILOT,-1
THE WALRUS,-2
THE WASHINGTON INSTITUTE FOR NEAR EAST POLICY,1
THE WASHINGTON SPECTATOR,-2
THE WATERLOO-CEDAR FALLS COURIER,0
THE WEEK,-2
THE WEEK UK,-1
THE WEST AUSTRALIAN,1
THE WILDERNESS SOCIETY,-1
THE WINCHESTER STAR,1
THE WIRE – INDIA,-1
THE WORLD CAN’T WAIT,-2
THE YOMIURI SHIMBUN,1
THE ZDF,0
THE ZERO HOUR,-2
THEGREGGJARRETT.COM,2
THEGRIO,-2
THEJEFFREYLORD.COM,2
THEJOURNAL.IE,-1
THEM.US,-2
THEOSWATCH.COM,-2
THESTREET,1
THEWRAP,-1
THINK PROGRESS,-2
THIRD WAY,0
THIS MAGAZINE,-2
THOMSON REUTERS FOUNDATION,-1
THOUGHTCO,0
THRILLIST,-1
TIME MAGAZINE,-1
TIMELINE,-1
TIMES COLONIST,-1
TIMES HEADLINE,-1
TIMES NEWS,1
TIMES OF ISRAEL,-1
TIMES OF SAN DIEGO,0
TIMES OF SOUTH AFRICA,1
TIMES-NEWS,0
TIMES-PICAYUNE,-1
TMZ,-1
TO VIMA,1
TODAY I FOUND OUT,0
TODAY.COM,-1
TOLEDO BLADE,1
TOMDISPATCH.COM,-1
TOPEKA CAPITAL-JOURNAL,1
TORONTO STAR,-1
TORONTO SUN,2
TOWLEROAD,-2
TRANSPARENCY INTERNATIONAL,0
TRANSPARTISAN REVIEW,0
TRAVERSE CITY RECORD-EAGLE,0
TREEHUGGER,-2
TRENDING VIEWS,2
TRI-CITY HERALD,0
TRIBUNE CONTENT AGENCY,0
TRIBUNIST,2
TRIBUNNEWS.COM,1
TRT WORLD,2
TRUTH BE TOLD,0
TRUTH THEORY,-2
TRUTHDIG,-2
TRUTHORFICTION.COM,0
TRUTHOUT,-2
TULSA WORLD,1
TUT.BY,0
TVW WASHINGTON STATE,0
TWITCHY,2
TYPE MEDIA CENTER,-1
UAWIRE,-1
UKRAYINSKA PRAVDA,-1
UN WATCH,2
UNDARK,0
UNICORN RIOT,-2
UNION OF CONCERNED SCIENTISTS,-1
UNITED FEDERATION OF TEACHERS,-1
UNITED PRESS INTERNATIONAL,0
UNITED STATE HOUSE OF REPRESENTATIVES,0
UNITY NEWS NETWORK,2
UNIVERSITY BUSINESS,-1
UPDATE AMERICA,2
UPROXX,-2
UPWORTHY,-2
URBAN INSTITUTE,-1
USA SPENDING,0
USA TODAY,-1
USAFACTS,0
USNEWS AND WORLD REPORT,-1
UTAH PUBLIC RADIO,-1
UTAH STANDARD-EXAMINER,0
UTICA OBSERVER-DISPATCH,-1
VALUEWALK,1
VANCOUVER SUN,1
VANITY FAIR,-2
VARIETY MAGAZINE,-1
VERA FILES,0
VERMONT INDEPENDENT,-2
VERRIT,-2
VIBE,-1
VICE NEWS,-1
VICTORIA ADVOCATE,-1
VIRAL THREAD,0
VIRAL TITLE,-2
VIRGINIA MERCURY,-1
VIVA LIBERTY,2
VOCATIV,0
VOICE OF AMERICA,0
VOICE OF SAN DIEGO,-1
VOS IZ NEIAS,0
VOTE,-2
VOTE SMART,0
VOTE VETS,-1
VOX,-2
VULTURE,-1
WACO TRIBUNE-HERALD,0
WALESONLINE,-1
WALL STREET JOURNAL,1
WALL STREET ON PARADE,-2
WAMU-FM,-1
WAR ON THE ROCKS,0
WASHINGTON BABYLON,-2
WASHINGTON BLADE,-1
WASHINGTON DAILY WIRE,-2
WASHINGTON EXAMINER,2
WASHINGTON FREE BEACON,2
WASHINGTON JOURNAL,0
WASHINGTON MONTHLY,-1
WASHINGTON POST,-1
WASHINGTON PRESS,-2
WASHINGTON SOURCES,-2
WASHINGTONIAN,-2
WASHINGTON’S TOP NEWS,0
WATCHDOG.ORG,1
WATERBURY REPUBLICAN-AMERICAN,1
WBNS-TV,0
WBTV,0
WCAX3,0
WDIV – CLICKONDETROIT,0
WE ARE THE MIGHTY,0
