Value,Date,Sub-Sector,Super Region,Measure,Frequency,Region,Source,Indicator,Subject
-0.33,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2.39,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2.92,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.08,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.02,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.92,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.33,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
2.18,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
1.22,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
7.78,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
7.13,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.31,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
7.7,2018-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
1.07,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
7.5,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2.76,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.07,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.76,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.33,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
1.83,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
1.16,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
7.47,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
7.11,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.32,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
7.87,2018-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
0.93,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
7.27,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.52,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2.37,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.93,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.37,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.33,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
1.37,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
0.99,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
7.15,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
8.04,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.12,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
8.44,2017-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
1.04,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.64,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.34,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2.24,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.08,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.04,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.24,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.33,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
1.24,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
1.12,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
6.62,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
8.73,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.15,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
8.74,2017-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
1.03,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.77,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.19,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2.26,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.25,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.03,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.26,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.33,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
1.08,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
1.17,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
6.95,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
9.14,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.24,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
9.14,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
1.13,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
7.1,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.06,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.33,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2.44,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.25,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.13,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.44,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.33,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
0.92,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
1.41,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
6.96,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
10.57,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.11,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
9.65,2017-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
0.85,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
6.77,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.31,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.93,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.31,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
2.13,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.25,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.85,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.13,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.31,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
0.77,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
1.1,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
6.64,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
10.66,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.2,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
10.05,2016-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
0.52,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
7.11,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.3,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.91,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.3,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.56,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.5,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.52,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.56,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.3,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
0.7,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
0.66,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
7.12,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
10.98,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.57,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
10.09,2016-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
0.79,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
7.71,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.26,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.81,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.26,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.75,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.5,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.8,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.75,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.26,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
0.56,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
0.94,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,LONG-TERM INTEREST RATES,TOTAL
7.41,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES,TOTAL
12.18,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
6.81,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES,TOTAL
10.47,2016-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,RUSSIA,OECD,LONG-TERM INTEREST RATES,TOTAL
0.95,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.35,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,CHINA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
7.52,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
-0.19,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.77,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
-0.19,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
1.92,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
6.75,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,INDIA,OECD,SHORT-TERM INTEREST RATES FORECAST,TOTAL
0.95,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(17 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.92,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,LONG-TERM INTEREST RATES,TOTAL
-0.19,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(19 COUNTRIES),OECD,SHORT-TERM INTEREST RATES,TOTAL
0.55,2016-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,UNITED STATES,OECD,SHORT-TERM INTEREST RATES,TOTAL
